DATA;COD_PROD;DESCRICAO;MODELO;MARCA;PORTAS;TIPO;CAMBIO;COMBUSTIVEL;FILIAL;VENDEDOR;COR;FORMA_PGTO;GERENTE;UF;ESTADO;CIDADE;PRECO_VENDA;ACESSORIOS; TOTAL_VENDAS 
01/01/2016;CHC003;Captiva 2.4 SIDI 16v;Captiva;Chevrolet;4.0;Passeio;Automático;Gasolina;Curitiba;Sérgio;Amarelo;Entrada + 48X;Andrey;PR;Paraná;Curitiba;83700;3562; 87.262,00 
01/01/2016;CHC003;Captiva 2.4 SIDI 16v;Captiva;Chevrolet;4.0;Passeio;Automático;Gasolina;São Paulo;Sérgio;Amarelo;Entrada + 48X;Andrey;SP;São Paulo;São Paulo;83700;3562; 87.262,00 
01/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Brasília;Cristiano;Grafite;Entrada + 60X;Fabio;DF;Distrito Federal;Brasília;95775,68;3479,85; 99.255,53 
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
01/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Brasília;Sérgio;Amarelo;Entrada + 48X;Andrey;DF;Distrito Federal;Brasília;129667,98;7059,66; 136.727,64 
01/01/2016;VWG008;Volkswagen Golf 1.4 TSI Comfortline 16v;Golf;Volkswagen;4.0;Passeio;Automático;Gasolina;Ribeirão Preto;Cristiano;Grafite;Entrada + 60X;Fabio;SP;São Paulo;Ribeirão Preto;138557,7;2607,15; 141.164,85 
01/01/2016;VWG008;Volkswagen Golf 1.4 TSI Comfortline 16v;Golf;Volkswagen;4.0;Passeio;Automático;Gasolina;São Paulo;Cristiano;Grafite;Entrada + 60X;Fabio;SP;São Paulo;São Paulo;105017,81;4008,71; 109.026,52 
03/01/2016;FIS003;Fiat Strada Working 1.4 8v;Strada;Fiat;2.0;Utilitário;Manual;Flex;Rio de Janeiro;Carlos Augusto;Cinza;Entrada + 36X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;53629,14;7041,83; 60.670,97 
03/01/2016;FIS003;Fiat Strada Working 1.4 8v;Strada;Fiat;2.0;Utilitário;Manual;Flex;São Paulo;Carlos Augusto;Cinza;Entrada + 36X;Juliana;SP;São Paulo;São Paulo;63270,59;5972,86; 69.243,45 
03/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;Curitiba;Carolina;Grafite;À vista;Andrey;PR;Paraná;Curitiba;52954,31;5825,58; 58.779,89 
03/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;Curitiba;Carolina;Grafite;À vista;Andrey;PR;Paraná;Curitiba;56298,86;7756,53; 64.055,39 
03/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Carolina;Grafite;À vista;Andrey;SP;São Paulo;São Paulo;51140,97;4700,58; 55.841,55 
03/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Carolina;Grafite;À vista;Andrey;SP;São Paulo;São Paulo;40139,63;6890,36; 47.029,99 
03/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Brasília;Carlos Augusto;Cinza;Entrada + 36X;Juliana;DF;Distrito Federal;Brasília;36753,91;5115,47; 41.869,38 
03/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Brasília;Carolina;Grafite;À vista;Andrey;DF;Distrito Federal;Brasília;72367,13;8527,51; 80.894,64 
03/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Brasília;Carolina;Grafite;À vista;Andrey;DF;Distrito Federal;Brasília;70664,18;5660,68; 76.324,86 
03/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;João Carlos;Branco;Entrada + 60X;Hojas;MG;Minas Gerais;Belo Horizonte;43829,94;6825,79; 50.655,73 
03/01/2016;VWG003;Volkswagen Gol 1.0 MI Special 8v;Gol;Volkswagen;4.0;Passeio;Manual;Flex;Belo Horizonte;João Carlos;Branco;Entrada + 60X;Hojas;MG;Minas Gerais;Belo Horizonte;42584,31;5607,03; 48.191,34 
03/01/2016;VWG003;Volkswagen Gol 1.0 MI Special 8v;Gol;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;João Carlos;Branco;Entrada + 60X;Hojas;SP;São Paulo;São Paulo;54331,92;5171,42; 59.503,34 
04/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;Curitiba;Carolina;Branco;Entrada + 60X;Andrey;PR;Paraná;Curitiba;60973,95;4955,38; 65.929,33 
04/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;Curitiba;Carolina;Branco;Entrada + 60X;Andrey;PR;Paraná;Curitiba;66956,27;4527,06; 71.483,33 
04/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Carolina;Branco;Entrada + 60X;Andrey;SP;São Paulo;São Paulo;66741,25;6662,12; 73.403,37 
04/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Carolina;Branco;Entrada + 60X;Andrey;SP;São Paulo;São Paulo;67951,86;5328,26; 73.280,12 
04/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Carolina;Branco;Entrada + 60X;Andrey;MG;Minas Gerais;Belo Horizonte;63273,18;5889,42; 69.162,60 
04/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Carolina;Branco;Entrada + 60X;Andrey;MG;Minas Gerais;Belo Horizonte;74410,94;4351,39; 78.762,33 
07/01/2016;CHO001;Onix 1.0 MPFI LS 8v;Onix;Chevrolet;4.0;Passeio;Manual;Flex;Fortaleza;Mário;Grafite;Entrada + 48X;Adriana;CE;Ceará;Fortaleza;50843,94;2099,32; 52.943,26 
07/01/2016;CHO001;Onix 1.0 MPFI LS 8v;Onix;Chevrolet;4.0;Passeio;Manual;Flex;São Paulo;Mário;Grafite;Entrada + 48X;Adriana;SP;São Paulo;São Paulo;51346,29;2266,73; 53.613,02 
07/01/2016;FOE003;Ford Ecosport 1.6 Freestyle 16v;Ecosport;Ford;4.0;Passeio;Automático;Flex;Brasília;Luiz Sérgio;Grafite;Entrada + 48X;Hojas;DF;Distrito Federal;Brasília;118863,59;2837,52; 121.701,11 
07/01/2016;FOE003;Ford Ecosport 1.6 Freestyle 16v;Ecosport;Ford;4.0;Passeio;Automático;Flex;São Paulo;Luiz Sérgio;Grafite;Entrada + 48X;Hojas;SP;São Paulo;São Paulo;74242,25;4095,49; 78.337,74 
07/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Luiz Sérgio;Grafite;Entrada + 48X;Hojas;MG;Minas Gerais;Belo Horizonte;88341,19;4045,01; 92.386,20 
07/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Mário;Grafite;Entrada + 48X;Adriana;MG;Minas Gerais;Belo Horizonte;34862,03;4019,62; 38.881,65 
08/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Ana Lúcia;Prata;Entrada + 24X;Hojas;MG;Minas Gerais;Belo Horizonte;143783,9;3910,66; 147.694,56 
08/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Renato;Grafite;Entrada + 24X;Hojas;MG;Minas Gerais;Belo Horizonte;98187,45;6565,51; 104.752,96 
08/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Renato;Grafite;Entrada + 24X;Hojas;MG;Minas Gerais;Belo Horizonte;101951,93;7557,89; 109.509,82 
08/01/2016;VWG008;Volkswagen Golf 1.4 TSI Comfortline 16v;Golf;Volkswagen;4.0;Passeio;Automático;Gasolina;Belo Horizonte;Ana Lúcia;Prata;Entrada + 24X;Hojas;MG;Minas Gerais;Belo Horizonte;129289,42;5017,82; 134.307,24 
08/01/2016;VWG008;Volkswagen Golf 1.4 TSI Comfortline 16v;Golf;Volkswagen;4.0;Passeio;Automático;Gasolina;São Paulo;Ana Lúcia;Prata;Entrada + 24X;Hojas;SP;São Paulo;São Paulo;133176,35;5439,8; 138.616,15 
08/01/2016;VWS007;Volkswagen Spacefox Comfortline 1.6 MSI 8v;Spacefox;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Renato;Grafite;Entrada + 24X;Hojas;SP;São Paulo;São Paulo;71727,84;7772,24; 79.500,08 
08/01/2016;VWS007;Volkswagen Spacefox Comfortline 1.6 MSI 8v;Spacefox;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Renato;Grafite;Entrada + 24X;Hojas;SP;São Paulo;São Paulo;104626,31;5787,57; 110.413,88 
08/01/2016;VWS007;Volkswagen Spacefox Comfortline 1.6 MSI 8v;Spacefox;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Renato;Grafite;Entrada + 24X;Hojas;SP;São Paulo;São Paulo;103528,17;5055,58; 108.583,75 
08/01/2016;VWS007;Volkswagen Spacefox Comfortline 1.6 MSI 8v;Spacefox;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Renato;Grafite;Entrada + 24X;Hojas;SP;São Paulo;São Paulo;103922,32;8915,83; 112.838,15 
09/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Célio;Prata;Entrada + 60X;Juliana;MG;Minas Gerais;Belo Horizonte;54946,92;1731,05; 56.677,97 
09/01/2016;VWG003;Volkswagen Gol 1.0 MI Special 8v;Gol;Volkswagen;4.0;Passeio;Manual;Flex;Rio de Janeiro;Célio;Prata;Entrada + 60X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;58717,42;2166,95; 60.884,37 
09/01/2016;VWG003;Volkswagen Gol 1.0 MI Special 8v;Gol;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Célio;Prata;Entrada + 60X;Juliana;SP;São Paulo;São Paulo;53642,24;2701,29; 56.343,53 
13/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Renato;Prata;Entrada + 60X;Hojas;SP;São Paulo;São Paulo;57172,11;8460,72; 65.632,83 
13/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Renato;Prata;Entrada + 60X;Hojas;SP;São Paulo;São Paulo;67257,32;7995,9; 75.253,22 
13/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Renato;Prata;Entrada + 60X;Hojas;SP;São Paulo;São Paulo;61878,12;7930,28; 69.808,40 
13/01/2016;FIS004;Fiat Siena El 1.4 8v;Siena;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Renato;Prata;Entrada + 60X;Hojas;SP;São Paulo;São Paulo;52796,57;5696,46; 58.493,03 
13/01/2016;REL003;Renault Logan 1.0 Authentique 16v;Logan;Renault;4.0;Passeio;Manual;Flex;São Paulo;José Carlos;Prata;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;62136,69;4940,41; 67.077,10 
13/01/2016;REL003;Renault Logan 1.0 Authentique 16v;Logan;Renault;4.0;Passeio;Manual;Flex;São Paulo;José Carlos;Prata;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;58053,72;3220,15; 61.273,87 
13/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Renato;Prata;Entrada + 60X;Hojas;MG;Minas Gerais;Belo Horizonte;39417,23;7152,09; 46.569,32 
13/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;José Carlos;Prata;Entrada + 48X;Fabio;MG;Minas Gerais;Belo Horizonte;43185;5936,38; 49.121,38 
13/01/2016;VWA010;Volkswagen Amarok 2.0 Highline 4X4 16v Turbo;Amarok;Volkswagen;4.0;Utilitário;Automático;Diesel;Belo Horizonte;Renato;Prata;Entrada + 60X;Hojas;MG;Minas Gerais;Belo Horizonte;48159,59;7221,86; 55.381,45 
14/01/2016;FIS006;Fiat Strada Working 1.4 MPI 8v;Strada;Fiat;3.0;Utilitário;Manual;Flex;Salvador;Carlos Roberto;Grafite;Entrada + 60X;Adriana;BA;Bahia;Salvador;82994;5766,39; 88.760,39 
14/01/2016;FIS006;Fiat Strada Working 1.4 MPI 8v;Strada;Fiat;3.0;Utilitário;Manual;Flex;São Paulo;Carlos Roberto;Grafite;Entrada + 60X;Adriana;SP;São Paulo;São Paulo;76235,43;7143,92; 83.379,35 
14/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Carlos Roberto;Grafite;Entrada + 60X;Adriana;MG;Minas Gerais;Belo Horizonte;71777,51;5436,1; 77.213,61 
15/01/2016;REC002;Renault Clio 1.0 Expression 16v;Clio;Renault;4.0;Passeio;Manual;Flex;Rio de Janeiro;Rodrigo;Prata;Entrada + 60X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;51245,26;5393,86; 56.639,12 
15/01/2016;REC002;Renault Clio 1.0 Expression 16v;Clio;Renault;4.0;Passeio;Manual;Flex;São Paulo;Rodrigo;Prata;Entrada + 60X;Juliana;SP;São Paulo;São Paulo;46346,91;2923,19; 49.270,10 
15/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Carolina;Amarelo;Entrada + 60X;Andrey;MG;Minas Gerais;Belo Horizonte;152205,76;6336,57; 158.542,33 
15/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Carolina;Amarelo;Entrada + 60X;Andrey;MG;Minas Gerais;Belo Horizonte;108701,17;6810,93; 115.512,10 
15/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Rodrigo;Prata;Entrada + 60X;Juliana;MG;Minas Gerais;Belo Horizonte;52475,14;5275,92; 57.751,06 
15/01/2016;VWJ009;Volkswagen Jetta 1.4 TSI Comfortline 16v;Jetta;Volkswagen;4.0;Passeio;Automático;Gasolina;Rio de Janeiro;Carolina;Amarelo;Entrada + 60X;Andrey;RJ;Rio de Janeiro;Rio de Janeiro;145402,28;5041; 150.443,28 
15/01/2016;VWJ009;Volkswagen Jetta 1.4 TSI Comfortline 16v;Jetta;Volkswagen;4.0;Passeio;Automático;Gasolina;Rio de Janeiro;Carolina;Amarelo;Entrada + 60X;Andrey;RJ;Rio de Janeiro;Rio de Janeiro;142990,23;6783,17; 149.773,40 
15/01/2016;VWJ009;Volkswagen Jetta 1.4 TSI Comfortline 16v;Jetta;Volkswagen;4.0;Passeio;Automático;Gasolina;São Paulo;Carolina;Amarelo;Entrada + 60X;Andrey;SP;São Paulo;São Paulo;105261,81;4698,91; 109.960,72 
15/01/2016;VWJ009;Volkswagen Jetta 1.4 TSI Comfortline 16v;Jetta;Volkswagen;4.0;Passeio;Automático;Gasolina;São Paulo;Carolina;Amarelo;Entrada + 60X;Andrey;SP;São Paulo;São Paulo;126937,63;5232,02; 132.169,65 
17/01/2016;REM007;Renault Master 2.3 DCI Minibus 16 Lugares 16v;Master;Renault;4.0;Utilitário;Manual;Diesel;Fortaleza;Mário;Prata;Entrada + 60X;Adriana;CE;Ceará;Fortaleza;144114,27;9645,18; 153.759,45 
17/01/2016;REM007;Renault Master 2.3 DCI Minibus 16 Lugares 16v;Master;Renault;4.0;Utilitário;Manual;Diesel;São Paulo;Mário;Prata;Entrada + 60X;Adriana;SP;São Paulo;São Paulo;143245,27;7521,48; 150.766,75 
17/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Mário;Prata;Entrada + 60X;Adriana;MG;Minas Gerais;Belo Horizonte;189551,05;7538,77; 197.089,82 
18/01/2016;RED005;Renault Duster Oroch 2.0 Dynamique 16V;Duster;Renault;4.0;Utilitário;Manual;Flex;São Paulo;Ana Maria;Grafite;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;96078;1693,5; 97.771,50 
18/01/2016;RED005;Renault Duster Oroch 2.0 Dynamique 16V;Duster;Renault;4.0;Utilitário;Manual;Flex;São Paulo;Ana Maria;Grafite;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;96529,35;1188,93; 97.718,28 
18/01/2016;REM007;Renault Master 2.3 DCI Minibus 16 Lugares 16v;Master;Renault;4.0;Utilitário;Manual;Diesel;Fortaleza;Mário;Branco;Entrada + 24X;Adriana;CE;Ceará;Fortaleza;153725,65;3534,34; 157.259,99 
18/01/2016;REM007;Renault Master 2.3 DCI Minibus 16 Lugares 16v;Master;Renault;4.0;Utilitário;Manual;Diesel;São Paulo;Mário;Branco;Entrada + 24X;Adriana;SP;São Paulo;São Paulo;190889,16;3695,19; 194.584,35 
18/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Ana Maria;Grafite;Entrada + 48X;Fabio;MG;Minas Gerais;Belo Horizonte;73655,39;2144,96; 75.800,35 
18/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Mário;Branco;Entrada + 24X;Adriana;MG;Minas Gerais;Belo Horizonte;197053,43;4956,75; 202.010,18 
19/01/2016;FIU001;Fiat Uno Evo Vivace 1.0 8v;Uno;Fiat;2.0;Passeio;Manual;Flex;São Paulo;Mauro;Branco;Entrada + 60X;Fabio;SP;São Paulo;São Paulo;30881,87;2925,17; 33.807,04 
19/01/2016;FIU001;Fiat Uno Evo Vivace 1.0 8v;Uno;Fiat;2.0;Passeio;Manual;Flex;Florianópolis;Mauro;Branco;Entrada + 60X;Fabio;SC;Santa Catarina;Florianópolis;26483,98;2406,46; 28.890,44 
19/01/2016;FOR005;Ford Ranger Cab. Dupla 3.2 4X4 20v;Ranger;Ford;4.0;Utilitário;Automático;Diesel;Rio de Janeiro;José Luiz;Branco;Entrada + 36X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;208534,76;4768,53; 213.303,29 
19/01/2016;FOR005;Ford Ranger Cab. Dupla 3.2 4X4 20v;Ranger;Ford;4.0;Utilitário;Automático;Diesel;Florianópolis;José Luiz;Branco;Entrada + 36X;Juliana;SC;Santa Catarina;Florianópolis;157487,35;8016,32; 165.503,67 
19/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;José Luiz;Branco;Entrada + 36X;Juliana;MG;Minas Gerais;Belo Horizonte;224498,11;5154,06; 229.652,17 
19/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Mauro;Branco;Entrada + 60X;Fabio;MG;Minas Gerais;Belo Horizonte;37937,53;3390,45; 41.327,98 
19/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Roberta;Grafite;Entrada + 48X;Fabio;MG;Minas Gerais;Belo Horizonte;41107,67;5171,49; 46.279,16 
19/01/2016;VWF002;Volkswagen Fox 1.0 MPI Trendline 12v;Fox;Volkswagen;4.0;Passeio;Manual;Flex;São Paulo;Roberta;Grafite;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;32005,36;3595,63; 35.600,99 
19/01/2016;VWF002;Volkswagen Fox 1.0 MPI Trendline 12v;Fox;Volkswagen;4.0;Passeio;Manual;Flex;Florianópolis;Roberta;Grafite;Entrada + 48X;Fabio;SC;Santa Catarina;Florianópolis;46101,51;4429,09; 50.530,60 
20/01/2016;CHO001;Onix 1.0 MPFI LS 8v;Onix;Chevrolet;4.0;Passeio;Manual;Flex;São Paulo;Maurício;Grafite;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;54474,97;7552,06; 62.027,03 
20/01/2016;CHO001;Onix 1.0 MPFI LS 8v;Onix;Chevrolet;4.0;Passeio;Manual;Flex;Florianópolis;Maurício;Grafite;Entrada + 48X;Fabio;SC;Santa Catarina;Florianópolis;39155,19;8684,32; 47.839,51 
20/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;José Luiz;Branco;Entrada + 48X;Juliana;MG;Minas Gerais;Belo Horizonte;69904,73;4884,52; 74.789,25 
20/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Maurício;Grafite;Entrada + 48X;Fabio;MG;Minas Gerais;Belo Horizonte;47130,87;5923,5; 53.054,37 
20/01/2016;VWC006;Volkswagen Crossfox 1.6 MSI 16v;Crossfox;Volkswagen;4.0;Passeio;Manual;Flex;Rio de Janeiro;José Luiz;Branco;Entrada + 48X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;54816,71;6234,1; 61.050,81 
20/01/2016;VWC006;Volkswagen Crossfox 1.6 MSI 16v;Crossfox;Volkswagen;4.0;Passeio;Manual;Flex;Florianópolis;José Luiz;Branco;Entrada + 48X;Juliana;SC;Santa Catarina;Florianópolis;56179,57;7635,01; 63.814,58 
21/01/2016;CHC003;Captiva 2.4 SIDI 16v;Captiva;Chevrolet;4.0;Passeio;Automático;Gasolina;Florianópolis;Maria Amália;Prata;Entrada + 48X;Andrey;SC;Santa Catarina;Florianópolis;83650;3924; 87.574,00 
21/01/2016;CHC003;Captiva 2.4 SIDI 16v;Captiva;Chevrolet;4.0;Passeio;Automático;Gasolina;Florianópolis;Maria Amália;Prata;Entrada + 48X;Andrey;SC;Santa Catarina;Florianópolis;83650;3924; 87.574,00 
21/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Maria Amália;Prata;Entrada + 48X;Andrey;MG;Minas Gerais;Belo Horizonte;119010,97;5379,25; 124.390,22 
22/01/2016;FIP002;Fiat Palio Fire 1.0 8v;Palio;Fiat;4.0;Passeio;Manual;Flex;Rio de Janeiro;Rodrigo;Grafite;Entrada + 48X;Juliana;RJ;Rio de Janeiro;Rio de Janeiro;41957,09;6407,62; 48.364,71 
