Data;Regiao;Vendedor;Secao;Vendas;Total com imposto
02/01/2010;Centro;Simone;Cama, Mesa e Banho;4135,06;4962,07
02/01/2010;Oeste;Ana Maria;Eletrodomésticos;1409,31;1691,17
03/01/2010;Sul;Carolina;Eletrônicos;363,44;436,13
04/01/2010;Nordeste;João Carlos;Cine e Foto;399,76;479,71
05/01/2010;Sudeste;Carolina;Cama, Mesa e Banho;814,39;977,27
05/01/2010;Oeste;Ricardo;Casa e Construção;2870,73;3444,88
05/01/2010;Sul;Ana Maria;Cine e Foto;1102,66;1323,19
06/01/2010;Centro;Ana Maria;Móveis e Decoração;2575,83;3091,00
06/01/2010;Sul;Ana Maria;Eletrônicos;3193,66;3832,39
08/01/2010;Centro;Carolina;Eletrônicos;324,90;389,88
08/01/2010;Centro;Roberto;Esporte e Lazer;2183,97;2620,76
10/01/2010;Nordeste;Carolina;Cama, Mesa e Banho;622,01;746,41
11/01/2010;Sul;Ana Maria;Cama, Mesa e Banho;2231,92;2678,30
11/01/2010;Centro;Adriana;Eletrônicos;2542,59;3051,11
11/01/2010;Leste;Carolina;Casa e Construção;4855,44;5826,53
12/01/2010;Sudeste;João Carlos;Utilidades Domésticas;3780,35;4536,42
12/01/2010;Sul;Ana Maria;Esporte e Lazer;1840,98;2209,18
16/01/2010;Norte;João Carlos;Casa e Construção;2546,93;3056,32
16/01/2010;Oeste;Carolina;Móveis e Decoração;1322,58;1587,10
16/01/2010;Centro;Carolina;Roupas e Acessórios;4284,20;5141,04
16/01/2010;Nordeste;Simone;Móveis e Decoração;4475,25;5370,30
16/01/2010;Sudeste;Carolina;Eletrônicos;2666,45;3199,74
16/01/2010;Centro;Carolina;Cama, Mesa e Banho;2725,30;3270,36
18/01/2010;Nordeste;Ricardo;Casa e Construção;4925,77;5910,92
19/01/2010;Nordeste;Carolina;Eletrônicos;3727,13;4472,56
19/01/2010;Nordeste;Ana Maria;Cine e Foto;2628,42;3154,10
21/01/2010;Sudeste;Carolina;Utilidades Domésticas;818,46;982,15
22/01/2010;Sul;João Carlos;Eletrônicos;4491,09;5389,31
23/01/2010;Centro;Ricardo;Cama, Mesa e Banho;2424,22;2909,06
24/01/2010;Leste;Carolina;Móveis e Decoração;4363,02;5235,62
24/01/2010;Sul;Roberto;Eletrodomésticos;4928,01;5913,61
24/01/2010;Sudeste;Carolina;Utilidades Domésticas;4764,84;5717,81
25/01/2010;Centro;Roberto;Roupas e Acessórios;4920,82;5904,98
26/01/2010;Sudeste;Simone;Eletrônicos;4647,49;5576,99
26/01/2010;Centro;João Carlos;Cama, Mesa e Banho;1089,47;1307,36
26/01/2010;Nordeste;João Carlos;Esporte e Lazer;4489,94;5387,93
28/01/2010;Sul;José Luiz;Cama, Mesa e Banho;3009,49;3611,39
28/01/2010;Norte;Ricardo;Cine e Foto;1963,00;2355,60
28/01/2010;Centro;Ana Maria;Roupas e Acessórios;4375,52;5250,62
29/01/2010;Centro;Ricardo;Cine e Foto;2942,77;3531,32
29/01/2010;Centro;José Luiz;Cama, Mesa e Banho;1432,64;1719,17
30/01/2010;Nordeste;Carolina;Eletrônicos;1017,62;1221,14
30/01/2010;Oeste;Ana Maria;Eletrônicos;390,03;468,04
30/01/2010;Sul;Ana Maria;Eletrodomésticos;2927,62;3513,14
31/01/2010;Sudeste;Ricardo;Roupas e Acessórios;2951,67;3542,00
01/02/2010;Oeste;Carolina;Cama, Mesa e Banho;3956,24;4747,49
02/02/2010;Sudeste;João Carlos;Esporte e Lazer;2359,56;2831,47
02/02/2010;Oeste;Ana Maria;Cama, Mesa e Banho;1219,08;1462,90
02/02/2010;Sul;Carolina;Cine e Foto;3918,15;4701,78
04/02/2010;Sudeste;José Luiz;Cine e Foto;3431,24;4117,49
05/02/2010;Centro;Carolina;Eletrônicos;4863,33;5836,00
06/02/2010;Leste;Adriana;Eletrodomésticos;4249,10;5098,92
06/02/2010;Nordeste;Ricardo;Móveis e Decoração;4909,82;5891,78
07/02/2010;Nordeste;Ana Maria;Móveis e Decoração;4010,53;4812,64
07/02/2010;Norte;Ana Maria;Esporte e Lazer;4640,33;5568,40
09/02/2010;Sudeste;Roberto;Eletrodomésticos;695,78;834,94
09/02/2010;Leste;Ricardo;Utilidades Domésticas;2019,00;2422,80
10/02/2010;Norte;Roberto;Roupas e Acessórios;4641,17;5569,40
10/02/2010;Sudeste;Carolina;Esporte e Lazer;2754,56;3305,47
11/02/2010;Norte;João Carlos;Utilidades Domésticas;4263,76;5116,51
11/02/2010;Sudeste;João Carlos;Eletrodomésticos;4282,78;5139,34
12/02/2010;Norte;Carolina;Eletrônicos;2827,14;3392,57
12/02/2010;Centro;Roberto;Eletrônicos;2324,41;2789,29
13/02/2010;Sudeste;Carolina;Eletrodomésticos;2384,59;2861,51
13/02/2010;Centro;Ricardo;Casa e Construção;3607,23;4328,68
13/02/2010;Oeste;Carolina;Cama, Mesa e Banho;1045,71;1254,85
13/02/2010;Norte;Roberto;Esporte e Lazer;3064,67;3677,60
