Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
2025;2256.79;2564.1;2554.43;2564.42;2382.57;2152.81;;;;;;
2024;974.46;1005.54;1023.45;1145.12;1186.17;1240.85;1216.35;1279.77;1316.36;1463.25;1732.67;2063.69
2023;1030.14;1130.26;1103.37;1115.24;1030.64;927.88;878.5;868.24;802.59;800.95;845.6;925.46
2022;1480.49;1488.11;1258.22;1253.25;1259.21;1256.28;1119.45;1075.91;1098.56;1032.75;915.26;994.22
2021;639.23;695.33;726.88;744.05;811.06;793.67;762.36;772.03;851.11;1113.29;1285.94;1446.66
2020;501.68;493.67;555.23;576.55;566.69;518.24;531.82;555.65;545.8;521.32;551.45;586.98
2019;399.98;398.08;390.17;381.0;392.92;427.09;442.84;417.23;415.82;406.17;447.67;518.57
2018;432.26;430.47;421.87;431.5;446.76;466.24;474.96;459.73;442.37;424.54;429.7;410.42
2017;514.21;505.3;488.99;479.25;471.89;473.76;508.55;511.44;477.19;437.82;450.84;449.44
2016;491.71;479.41;500.51;479.0;478.52;494.52;510.03;503.8;505.52;507.73;549.46;504.75
2015;469.08;464.85;472.13;456.69;441.52;470.26;440.97;474.56;466.21;472.95;443.5;474.02
2014;275.47;341.37;432.91;430.91;403.69;384.6;377.02;398.44;395.12;456.66;466.14;467.3
2013;331.71;308.16;301.2;298.63;304.76;284.48;297.33;291.48;278.38;248.45;234.43;252.69
2012;473.8;444.78;402.54;374.13;385.05;366.47;420.85;403.73;394.25;378.21;347.7;334.27
2011;405.52;473.95;493.91;506.52;500.25;484.58;445.01;442.18;458.07;459.42;478.76;476.54
2010;282.41;274.39;267.6;258.5;262.84;286.17;294.53;294.06;291.67;295.58;315.92;345.01
2009;257.2;262.78;257.98;261.94;261.5;256.05;256.19;268.99;254.8;245.34;271.77;273.78
2008;255.94;274.19;260.42;244.31;244.54;251.89;261.99;267.53;270.08;252.0;245.12;250.12
2007;268.28;258.5;245.11;232.76;227.94;235.81;243.38;255.14;253.06;257.43;245.71;255.43
2006;274.02;251.55;244.16;242.61;223.77;214.53;220.57;240.37;243.88;238.28;250.66;278.2
2005;261.47;285.24;307.56;320.03;286.63;283.33;264.85;268.8;277.53;237.58;239.78;256.64
2004;188.04;197.28;199.09;194.64;215.06;229.31;196.09;184.15;189.52;187.96;210.23;230.88
2003;182.17;184.75;166.38;172.98;167.07;152.82;161.39;169.79;173.96;163.06;162.67;173.21
2002;102.83;104.1;111.57;112.52;97.61;95.83;104.71;110.73;120.56;147.85;167.93;169.42
2001;121.03;118.46;120.61;110.68;125.68;116.6;110.97;112.3;108.25;95.88;90.68;92.11
2000;215.77;192.51;183.41;174.49;169.07;150.13;163.08;151.3;146.36;129.36;123.51;120.71
1999;170.76;183.8;187.76;164.8;181.57;176.69;157.98;156.92;143.04;186.47;207.35;245.61
1998;235.89;233.53;201.63;181.55;152.16;137.13;122.94;132.33;117.13;113.77;123.76;135.04
1997;154.38;188.83;197.54;212.58;221.56;209.94;179.74;195.56;205.5;192.15;212.84;212.85
1996;133.13;149.81;144.59;133.9;141.97;121.95;101.63;106.58;112.72;111.9;112.38;117.35
1995;140.66;135.89;151.06;145.98;143.58;133.01;128.5;135.28;124.89;121.84;122.34;112.82
1994;28732.0;42928.0;62876.0;105521.0;182842.53;302016.37;195.14;171.03;180.19;157.68;141.68;130.25
1993;970870.24;1147732.0;1505594.88;1541264.0;2142885.0;2792860.0;4056066.0;6077.0;8075.0;11198.0;15138.0;20790.0
1992;64935.0;76055.0;98784.1;108265.68;114791.66;136521.87;176592.33;189123.22;259860.55;423983.74;550391.62;867005.83
1991;11882.35;15940.37;17489.74;18693.57;18010.39;18675.08;19333.11;20145.01;26744.61;33903.0;40528.0;44367.0
1990;1197.83;2229.4;4657.87;4569.06;4741.11;4606.12;4604.83;6110.39;6409.4;6581.29;7043.68;9658.44
1989;109.28;93.55;102.98;128.18;160.91;157.48;150.57;147.41;198.66;244.63;412.2;598.37
1988;3999.32;5619.86;6878.7;7835.88;8662.83;12520.65;14784.6;15723.48;22558.67;28117.1;38690.88;67768.1
1987;1898.09;1839.29;1812.81;1925.28;2599.25;2450.64;2254.18;2217.49;2294.09;2749.25;2945.86;3067.6
1986;3491768.0;3498152.0;3464.15;2965.38;2953.35;2734.7;2844.75;2991.12;3034.67;2721.27;2723.48;2140.34
1985;388133.0;444484.0;501629.0;539721.0;528152.0;512101.0;504678.0;522889.0;557932.0;874916.0;1282990.0;2449053.0
1984;66626.31;73169.7;84519.93;85939.43;94542.67;121940.52;145551.52;147170.12;170772.83;193501.0;219316.0;258899.0
1983;24664.3;35984.96;29887.05;29622.46;29531.22;29006.59;29595.9;33679.96;37445.32;43001.66;45297.57;54951.5
1982;10751.46;11521.11;12409.68;13397.29;13922.95;16164.71;15423.39;16280.62;16946.96;18228.16;20552.48;24461.28
1981;6336.11;6563.57;6421.42;6421.42;6411.71;6207.21;6533.26;7455.29;7601.47;7814.22;8670.28;10055.01
